count,x,y,z,time
33,1.54263,3.50579,0.626329,1661
859,0,0,0,1662
608,1.57055,3.5356,0.633366,1663
621,0,0,0,1664
24,1.59831,3.56493,0.640317,1665
891,0,0,0,1666
310,1.6259,3.59379,0.647184,1667
45,0,0,0,1668
494,1.65332,3.6222,0.653969,1669
119,0,0,0,1670
565,1.68059,3.65016,0.660674,1671
580,0,0,0,1672
466,1.7077,3.67768,0.6673,1673
684,0,0,0,1674
930,1.73466,3.70478,0.673847,1675
252,0,0,0,1676
603,1.76147,3.73145,0.680318,1677
531,0,0,0,1678
126,1.78812,3.75771,0.686714,1679
210,0,0,0,1680
282,1.81462,3.78357,0.693036,1681
219,0,0,0,1682
901,1.84098,3.80902,0.699284,1683
716,0,0,0,1684
127,1.86719,3.83409,0.705461,1685
653,0,0,0,1686
202,1.89326,3.85877,0.711567,1687
251,0,0,0,1688
